sim_alpha,sim_beta,n,method_type,method_algo,parameter,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
2.0,1.5,100,mrr,beta,beta,-0.0692961783626144,0.05615468413246001,0.1255656909752094,0.04439417578647251,0.017415354535728695,0.005504850289066082
2.0,1.5,100,mrr,bernard,alpha,0.09507895110094902,0.11853638507565083,0.26505541483624684,0.09371124061046178,0.06524350528966857,0.021742124295030713
2.0,1.5,100,mrr,bernard,beta,-0.07171506015457245,0.05608552572191431,0.12541104806801337,0.044339501262302156,0.01772539463498799,0.0055884969437096955
2.0,1.5,100,mle,scipy,alpha,0.07211243570047073,0.11891885653370139,0.26591064701590134,0.0940136108473231,0.061766981139786736,0.024218162325305045
2.0,1.5,100,mle,scipy,beta,-0.0034572304543028843,0.048565230090966034,0.10859515582631835,0.03839418554439976,0.009446278737568049,0.005033939576199352
2.0,2.0,10,mrr,beta,alpha,0.10042721810629743,0.21626182692088192,0.48357614593338605,0.1709699860047764,0.1971623372691998,0.09366223654556968
2.0,2.0,10,mrr,beta,beta,-0.49748837695592074,0.2720041331806135,0.6082197319527579,0.21503814845762967,0.5434396790755841,0.3350789042791644
2.0,2.0,10,mrr,bernard,alpha,0.10127742093238438,0.21640956927808594,0.48390650788725026,0.1710867865936881,0.1975895226912221,0.094013195901848
2.0,2.0,10,mrr,bernard,beta,-0.5019040744018552,0.27111348910655275,0.6062281912594006,0.21433403249298874,0.5459177958032987,0.336001954502786
2.0,2.0,10,mle,scipy,alpha,-0.09032447164387233,0.14911567704136058,0.333432790375387,0.11788629357219435,0.09710045073575811,0.05319512188850948
2.0,2.0,10,mle,scipy,beta,-0.058558180058269696,0.2189430954098536,0.48957164454065477,0.17308971486567348,0.19517337656232972,0.06257805301683694
2.0,2.0,50,mrr,beta,alpha,0.11515915356378947,0.05439702667453603,0.12163544941813188,0.043004625558117175,0.025097776693649182,0.02019357770381041
2.0,2.0,50,mrr,beta,beta,-0.12033759694291715,0.2220062800253634,0.4964211335685663,0.17551137493532304,0.2116282907207963,0.09289330305539117
2.0,2.0,50,mrr,bernard,alpha,0.11580450306082612,0.05447288743116411,0.12180507922677684,0.04306459875210929,0.025279864789518,0.02031397714005303
2.0,2.0,50,mrr,bernard,beta,-0.12474950447878888,0.22151906494110046,0.4953316875204911,0.1751261975911576,0.2118452233972213,0.09451879160082785
2.0,2.0,50,mle,scipy,alpha,0.04813821760824326,0.019267116837821077,0.043082582979798716,0.015231993288023903,0.003802175159467575,0.0013106817921073126
2.0,2.0,50,mle,scipy,beta,0.1126544866878437,0.15276149175530307,0.34158507990913134,0.12076856317794774,0.10603532682412369,0.042344466946301104
2.0,2.0,100,mrr,beta,alpha,-0.030508440582559037,0.023010389644720068,0.051452795434351314,0.01819131028131702,0.0030486770731868976,0.0015517493481974432
2.0,2.0,100,mrr,beta,beta,0.08977227450974494,0.11515745665216097,0.2574999011902173,0.0910399631432343,0.061104020561030356,0.03787341624674351
2.0,2.0,100,mrr,bernard,alpha,-0.030160049152810807,0.02301699109731186,0.0514675567310968,0.01819652918783094,0.003028756081594898,0.0015392331853257442
2.0,2.0,100,mrr,bernard,beta,0.08635793413371151,0.11495332731219907,0.2570434541098603,0.09087858473034767,0.06031476262842476,0.037219446026187125
2.0,2.0,100,mle,scipy,alpha,-0.02998736346633768,0.02335373939435198,0.05222054881458579,0.01846275209203837,0.003080830542459474,0.001233345117099249
2.0,2.0,100,mle,scipy,beta,0.10979237211115551,0.10883262410417927,0.243357145666627,0.0860397439755372,0.05943252525140076,0.03587540203285199
2.0,2.5,10,mrr,beta,alpha,0.22904451751831503,0.1337818474224403,0.2991453049920815,0.10576383686000938,0.1240517218042421,0.04625168490162042
2.0,2.5,10,mrr,beta,beta,-0.5013361398625733,0.143871286466595,0.32170597654965194,0.11374023878324965,0.3341337134105179,0.18237692638990757
2.0,2.5,10,mrr,bernard,alpha,0.22984076959916763,0.13387539435557946,0.29935448229366735,0.10583779220422022,0.12451726422538534,0.046455938229941554
2.0,2.5,10,mrr,bernard,beta,-0.5076656983495245,0.14341320713052305,0.3206816800151071,0.1133780952704884,0.33999385319855957,0.18331629020919119
