Estat 453: (1,3); t=16.4870
Estat 454: (0,2); t=16.5194
Estat 455: (0,3); t=16.5288
Estat 456: (0,3); t=16.5837
Estat 457: (1,3); t=16.5991
Estat 458: (2,3); t=16.6068
Estat 459: (2,3); t=16.6068
Estat 460: (1,2); t=16.6068
Estat 461: (0,1); t=16.6687
Estat 462: (0,3); t=16.6924
Estat 463: (1,3); t=16.9046
Estat 464: (2,3); t=16.9596
Estat 465: (3,3); t=17.0565
Estat 466: (4,3); t=17.2077
Estat 467: (4,3); t=17.2077
Estat 468: (3,2); t=17.2077
Estat 469: (2,1); t=17.2077
Estat 470: (1,0); t=17.2110
Estat 471: (2,0); t=17.2245
Estat 472: (3,0); t=17.2969
Estat 473: (3,3); t=17.2969
Estat 474: (2,2); t=17.2969
Estat 475: (1,1); t=17.2969
Estat 476: (0,0); t=17.3061
Estat 477: (1,0); t=17.3821
Estat 478: (1,3); t=17.3821
Estat 479: (0,2); t=17.4203
Estat 480: (1,2); t=17.4273
Estat 481: (2,2); t=17.4726
Estat 482: (2,3); t=17.4726
Estat 483: (1,2); t=17.4726
Estat 484: (0,1); t=17.5301
Estat 485: (0,3); t=17.5650
Estat 486: (0,3); t=17.6220
Estat 487: (0,3); t=17.8817
Estat 488: (0,3); t=17.8913
Estat 489: (1,3); t=17.9068
Estat 490: (1,3); t=17.9068
Estat 491: (0,2); t=17.9274
Estat 492: (1,2); t=18.0651
Estat 493: (1,3); t=18.0651
Estat 494: (0,2); t=18.2947
Estat 495: (0,3); t=18.3046
Estat 496: (1,3); t=18.3576
Estat 497: (2,3); t=18.5861
Estat 498: (2,3); t=18.5861
Estat 499: (1,2); t=18.5861
Estat 500: (0,1); t=18.6473
Estat 501: (1,1); t=18.7137
Estat 502: (2,1); t=18.7331
Estat 503: (3,1); t=18.7484
Estat 504: (4,1); t=18.9737
Estat 505: (4,3); t=18.9737
Estat 506: (3,2); t=18.9737
Estat 507: (2,1); t=18.9737
Estat 508: (1,0); t=18.9838
Estat 509: (2,0); t=19.0546
Estat 510: (3,0); t=19.1000
Estat 511: (4,0); t=19.1011
Estat 512: (4,3); t=19.1011
Estat 513: (3,2); t=19.1011
Estat 514: (2,1); t=19.1011
Estat 515: (1,0); t=19.1072
Estat 516: (2,0); t=19.1571
Estat 517: (2,3); t=19.1571
Estat 518: (1,2); t=19.1571
Estat 519: (0,1); t=19.1913
Estat 520: (1,1); t=19.2477
Estat 521: (1,3); t=19.2477
Estat 522: (0,2); t=19.2549
Estat 523: (1,2); t=19.3392
Estat 524: (2,2); t=19.3628
Estat 525: (2,3); t=19.3628
Estat 526: (1,2); t=19.3628
Estat 527: (0,1); t=19.5165
Estat 528: (1,1); t=19.5490
Estat 529: (1,3); t=19.5490
Estat 530: (0,2); t=19.5689
Estat 531: (1,2); t=19.5742
Estat 532: (1,3); t=19.5742
Estat 533: (0,2); t=19.5779
Estat 534: (1,2); t=19.6060
Estat 535: (2,2); t=19.6402
Estat 536: (3,2); t=19.7422
Estat 537: (3,3); t=19.7422
Estat 538: (2,2); t=19.7422
Estat 539: (1,1); t=19.7422
Estat 540: (0,0); t=19.8458
Estat 541: (0,3); t=19.8718
Estat 542: (1,3); t=19.9227
Estat 543: (1,3); t=19.9227
Estat 544: (0,2); t=19.9524
Estat 545: (0,3); t=19.9830
Estat 546: (0,3); t=20.0662
Estat 547: (0,3); t=20.1199
Estat 548: (1,3); t=20.1367
Estat 549: (2,3); t=20.1511
Estat 550: (3,3); t=20.2725
Estat 551: (3,3); t=20.2725
Estat 552: (2,2); t=20.2725
Estat 553: (1,1); t=20.2725
Estat 554: (0,0); t=20.3823
Estat 555: (1,0); t=20.3913
Estat 556: (1,3); t=20.3913
Estat 557: (0,2); t=20.3946
Estat 558: (1,2); t=20.4053
Estat 559: (1,3); t=20.4053
Estat 560: (0,2); t=20.4449
Estat 561: (0,3); t=20.4581
Estat 562: (1,3); t=20.4664
Estat 563: (2,3); t=20.5260
Estat 564: (2,3); t=20.5260
Estat 565: (1,2); t=20.5260
Estat 566: (0,1); t=20.5646
Estat 567: (1,1); t=20.6318
Estat 568: (1,3); t=20.6318
Estat 569: (0,2); t=20.6721
Estat 570: (1,2); t=20.6728
Estat 571: (1,3); t=20.6728
Estat 572: (0,2); t=20.6779
Estat 573: (0,3); t=20.7170
Estat 574: (0,3); t=20.7179
Estat 575: (1,3); t=20.7857
Estat 576: (2,3); t=20.8222
Estat 577: (2,3); t=20.8222
Estat 578: (1,2); t=20.8222
Estat 579: (0,1); t=20.8801
Estat 580: (1,1); t=20.9108
Estat 581: (1,3); t=20.9108
Estat 582: (0,2); t=20.9269
Estat 583: (1,2); t=20.9382
Estat 584: (2,2); t=20.9430
Estat 585: (2,3); t=20.9430
Estat 586: (1,2); t=20.9430
Estat 587: (0,1); t=21.0000
Estat 588: (1,1); t=21.0709
Estat 589: (1,3); t=21.0709
Estat 590: (0,2); t=21.0990
Estat 591: (0,3); t=21.1643
Estat 592: (1,3); t=21.3951
Estat 593: (2,3); t=21.3999
Estat 594: (2,3); t=21.3999
Estat 595: (1,2); t=21.3999
Estat 596: (0,1); t=21.4998
Estat 597: (0,3); t=21.7104
Estat 598: (0,3); t=21.7784
Estat 599: (1,3); t=21.9328
Estat 600: (2,3); t=22.0020
Estat 601: (3,3); t=22.0435
Estat 602: (4,3); t=22.1292
Estat 603: (5,3); t=22.2230
Estat 604: (6,3); t=22.2443
Estat 605: (6,3); t=22.2443
Estat 606: (5,2); t=22.2443
Estat 607: (4,1); t=22.2443
Estat 608: (3,0); t=22.2805
Estat 609: (3,3); t=22.2805
Estat 610: (2,2); t=22.2805
Estat 611: (1,1); t=22.2805
Estat 612: (0,0); t=22.3479
Estat 613: (0,3); t=22.3918
Estat 614: (1,3); t=22.4506
Estat 615: (1,3); t=22.4506
Estat 616: (0,2); t=22.4653
Estat 617: (0,3); t=22.4836
Estat 618: (1,3); t=22.5246
Estat 619: (2,3); t=22.7083
Estat 620: (2,3); t=22.7083
Estat 621: (1,2); t=22.7083
Estat 622: (0,1); t=22.7402
Estat 623: (1,1); t=22.8165
Estat 624: (2,1); t=22.9333
Estat 625: (2,3); t=22.9333
Estat 626: (1,2); t=22.9333
Estat 627: (0,1); t=22.9397
Estat 628: (1,1); t=23.0041
Estat 629: (2,1); t=23.0296
Estat 630: (3,1); t=23.0777
Estat 631: (4,1); t=23.1011
Estat 632: (4,3); t=23.1011
Estat 633: (3,2); t=23.1011
Estat 634: (2,1); t=23.1011
Estat 635: (1,0); t=23.1529
Estat 636: (2,0); t=23.2249
Estat 637: (2,3); t=23.2249
Estat 638: (1,2); t=23.2249
Estat 639: (0,1); t=23.3401
Estat 640: (1,1); t=23.3655
Estat 641: (2,1); t=23.4809
Estat 642: (3,1); t=23.5850
Estat 643: (4,1); t=23.6150
Estat 644: (4,3); t=23.6150
Estat 645: (3,2); t=23.6150
Estat 646: (2,1); t=23.6150
Estat 647: (1,0); t=23.6153
Estat 648: (1,3); t=23.6153
Estat 649: (0,2); t=23.6217
Estat 650: (1,2); t=23.6607
Estat 651: (1,3); t=23.6607
Estat 652: (0,2); t=23.7124
Estat 653: (1,2); t=23.7785
Estat 654: (2,2); t=23.8072
Estat 655: (2,3); t=23.8072
Estat 656: (1,2); t=23.8072
Estat 657: (0,1); t=23.8646
Estat 658: (0,3); t=23.9527
Estat 659: (1,3); t=24.0966
Estat 660: (2,3); t=24.1884
Estat 661: (2,3); t=24.1884
Estat 662: (1,2); t=24.1884
Estat 663: (0,1); t=24.2671
Estat 664: (1,1); t=24.2784
Estat 665: (2,1); t=24.3012
Estat 666: (3,1); t=24.4166
Estat 667: (4,1); t=24.4186
Estat 668: (5,1); t=24.6542
Estat 669: (6,1); t=24.6640
Estat 670: (6,3); t=24.6640
Estat 671: (5,2); t=24.6640
Estat 672: (4,1); t=24.6640
Estat 673: (3,0); t=24.6940
Estat 674: (3,3); t=24.6940
Estat 675: (2,2); t=24.6940
Estat 676: (1,1); t=24.6940
Estat 677: (0,0); t=24.7256
Estat 678: (1,0); t=24.8737
Estat 679: (2,0); t=24.9875
Estat 680: (2,3); t=24.9875
Estat 681: (1,2); t=24.9875
Estat 682: (0,1); t=25.0238
Estat 683: (0,3); t=25.1753
Estat 684: (0,3); t=25.1909
Estat 685: (0,3); t=25.3283
Estat 686: (1,3); t=25.3492
Estat 687: (1,3); t=25.3492
Estat 688: (0,2); t=25.5879
Estat 689: (0,3); t=25.6034
Estat 690: (0,3); t=25.6458
Estat 691: (1,3); t=25.6895
Estat 692: (2,3); t=25.8155
Estat 693: (3,3); t=25.8434
Estat 694: (3,3); t=25.8434
Estat 695: (2,2); t=25.8434
Estat 696: (1,1); t=25.8434
Estat 697: (0,0); t=25.8496
Estat 698: (0,3); t=25.9401
Estat 699: (0,3); t=26.0720
Estat 700: (1,3); t=26.1329
Estat 701: (1,3); t=26.1329
Estat 702: (0,2); t=26.1809
Estat 703: (0,3); t=26.2630
Estat 704: (1,3); t=26.2896
Estat 705: (2,3); t=26.3550
Estat 706: (2,3); t=26.3550
Estat 707: (1,2); t=26.3550
Estat 708: (0,1); t=26.4059
Estat 709: (0,3); t=26.4181
Estat 710: (0,3); t=26.4295
Estat 711: (0,3); t=26.4712
Estat 712: (1,3); t=26.6125
Estat 713: (2,3); t=26.7669
Estat 714: (3,3); t=26.7742
